cleaning for history file | Start: 2026-05-08 12:17:23.447597 | End: 2026-05-08 12:17:33.151096 | Duration: 0:00:09.703499 | Code: 0
member rejuvenation | Start: 2026-05-08 12:17:33.151792 | End: 2026-05-08 12:17:49.019442 | Duration: 0:00:15.867650 | Code: 0
now merging the rejuvenated logo and fp files | Start: 2026-05-08 12:17:49.020092 | End: 2026-05-08 12:17:49.788977 | Duration: 0:00:00.768885 | Code: 0
cleaning for panel file | Start: 2026-05-08 12:17:49.789616 | End: 2026-05-08 12:17:50.460297 | Duration: 0:00:00.670681 | Code: 0
3 rules | Start: 2026-05-08 12:17:50.461054 | End: 2026-05-08 12:17:52.049896 | Duration: 0:00:01.588842 | Code: 1
ERROR: Script failed: C:\Users\ankur\Dev\others\DS\DA-Workflow\statement_file\14_qualifier_rules.py
Logo Sessions | Start: 2026-05-08 12:21:53.296515 | End: 2026-05-08 12:23:22.513209 | Duration: 0:01:29.216694 | Code: 0
FP files download | Start: 2026-05-08 12:23:22.513951 | End: 2026-05-08 12:23:39.696870 | Duration: 0:00:17.182919 | Code: 0
correcting the data | Start: 2026-05-08 12:23:39.697661 | End: 2026-05-08 12:23:41.905072 | Duration: 0:00:02.207411 | Code: 0
mapping the data | Start: 2026-05-08 12:23:41.905652 | End: 2026-05-08 12:23:54.632714 | Duration: 0:00:12.727062 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 12:23:54.633382 | End: 2026-05-08 12:23:59.811455 | Duration: 0:00:05.178073 | Code: 0
household sessions for fp | Start: 2026-05-08 12:23:59.812067 | End: 2026-05-08 12:24:25.740668 | Duration: 0:00:25.928601 | Code: 0
member sessions for fp | Start: 2026-05-08 12:24:25.741281 | End: 2026-05-08 12:24:53.894389 | Duration: 0:00:28.153108 | Code: 0
cleaning | Start: 2026-05-08 12:24:53.895192 | End: 2026-05-08 12:24:54.814322 | Duration: 0:00:00.919130 | Code: 0
merging sessions without rejuvenation for rejuvenation history file | Start: 2026-05-08 12:24:54.814982 | End: 2026-05-08 12:24:55.544095 | Duration: 0:00:00.729113 | Code: 0
cleaning for history file | Start: 2026-05-08 12:24:55.544740 | End: 2026-05-08 12:25:08.023287 | Duration: 0:00:12.478547 | Code: 0
member rejuvenation | Start: 2026-05-08 12:25:08.024088 | End: 2026-05-08 12:25:36.364104 | Duration: 0:00:28.340016 | Code: 0
now merging the rejuvenated logo and fp files | Start: 2026-05-08 12:25:36.365132 | End: 2026-05-08 12:25:36.968035 | Duration: 0:00:00.602903 | Code: 0
cleaning for panel file | Start: 2026-05-08 12:25:36.968962 | End: 2026-05-08 12:25:37.544479 | Duration: 0:00:00.575517 | Code: 0
3 rules | Start: 2026-05-08 12:25:37.545997 | End: 2026-05-08 12:25:39.538851 | Duration: 0:00:01.992854 | Code: 0
channel clipping | Start: 2026-05-08 12:25:39.542309 | End: 2026-05-08 12:25:43.940184 | Duration: 0:00:04.397875 | Code: 0
statement file generation | Start: 2026-05-08 12:25:43.940980 | End: 2026-05-08 12:25:44.634294 | Duration: 0:00:00.693314 | Code: 0
Logo Sessions | Start: 2026-05-08 15:01:49.520187 | End: 2026-05-08 15:01:50.216198 | Duration: 0:00:00.696011 | Code: 1
ERROR: Script failed: C:\Users\ankur\Dev\others\DS\DA-Workflow\sessions\logo\01_sessions.py
Logo Sessions | Start: 2026-05-08 15:02:25.236772 | End: 2026-05-08 15:04:52.309488 | Duration: 0:02:27.072716 | Code: 0
FP files download | Start: 2026-05-08 15:04:53.039984 | End: 2026-05-08 15:04:55.027849 | Duration: 0:00:01.987865 | Code: 0
correcting the data | Start: 2026-05-08 15:04:55.028238 | End: 2026-05-08 15:04:56.869420 | Duration: 0:00:01.841182 | Code: 0
mapping the data | Start: 2026-05-08 15:04:57.228061 | End: 2026-05-08 15:05:10.849785 | Duration: 0:00:13.621724 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 15:05:10.850347 | End: 2026-05-08 15:05:18.546541 | Duration: 0:00:07.696194 | Code: 1
ERROR: Script failed: C:\Users\ankur\Dev\others\DS\DA-Workflow\sessions\fp\05_merging_3.py
Logo Sessions | Start: 2026-05-08 15:45:51.173950 | End: 2026-05-08 15:51:15.336296 | Duration: 0:05:24.162346 | Code: 0
FP files download | Start: 2026-05-08 15:51:15.343299 | End: 2026-05-08 15:52:05.208830 | Duration: 0:00:49.865531 | Code: 0
correcting the data | Start: 2026-05-08 15:52:05.209797 | End: 2026-05-08 15:52:09.269395 | Duration: 0:00:04.059598 | Code: 0
mapping the data | Start: 2026-05-08 15:52:09.270254 | End: 2026-05-08 15:52:39.915287 | Duration: 0:00:30.645033 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 15:52:39.917009 | End: 2026-05-08 15:53:00.361780 | Duration: 0:00:20.444771 | Code: 0
household sessions for fp | Start: 2026-05-08 15:53:00.362705 | End: 2026-05-08 15:53:42.266617 | Duration: 0:00:41.903912 | Code: 0
member sessions for fp | Start: 2026-05-08 15:53:42.268251 | End: 2026-05-08 15:55:07.442055 | Duration: 0:01:25.173804 | Code: 0
cleaning | Start: 2026-05-08 15:55:07.443427 | End: 2026-05-08 15:55:08.890165 | Duration: 0:00:01.446738 | Code: 0
merging sessions without rejuvenation for rejuvenation history file | Start: 2026-05-08 15:55:08.891248 | End: 2026-05-08 15:55:09.908561 | Duration: 0:00:01.017313 | Code: 0
cleaning for history file | Start: 2026-05-08 15:55:09.911373 | End: 2026-05-08 15:56:04.967181 | Duration: 0:00:55.055808 | Code: 0
member rejuvenation | Start: 2026-05-08 15:56:04.969404 | End: 2026-05-08 15:57:14.604594 | Duration: 0:01:09.635190 | Code: 0
now merging the rejuvenated logo and fp files | Start: 2026-05-08 15:57:14.605815 | End: 2026-05-08 15:57:15.724692 | Duration: 0:00:01.118877 | Code: 0
cleaning for panel file | Start: 2026-05-08 15:57:15.725482 | End: 2026-05-08 15:57:16.739771 | Duration: 0:00:01.014289 | Code: 0
3 rules | Start: 2026-05-08 15:57:16.740693 | End: 2026-05-08 15:57:19.844187 | Duration: 0:00:03.103494 | Code: 0
channel clipping | Start: 2026-05-08 15:57:19.846132 | End: 2026-05-08 15:57:26.755269 | Duration: 0:00:06.909137 | Code: 0
statement file generation | Start: 2026-05-08 15:57:26.756625 | End: 2026-05-08 15:57:27.787719 | Duration: 0:00:01.031094 | Code: 0
upload outputs to S3 | Start: 2026-05-08 15:57:27.788564 | End: 2026-05-08 15:57:34.638902 | Duration: 0:00:06.850338 | Code: 0
Logo Sessions | Start: 2026-05-08 22:17:55.906678 | End: 2026-05-08 22:26:54.444827 | Duration: 0:08:58.538149 | Code: 0
FP files download | Start: 2026-05-08 22:26:54.447449 | End: 2026-05-08 22:27:40.656310 | Duration: 0:00:46.208861 | Code: 0
correcting the data | Start: 2026-05-08 22:27:40.657880 | End: 2026-05-08 22:27:48.075243 | Duration: 0:00:07.417363 | Code: 0
mapping the data | Start: 2026-05-08 22:27:48.078027 | End: 2026-05-08 22:28:50.518216 | Duration: 0:01:02.440189 | Code: 0
merging the member declaration and viewership data for fp | Start: 2026-05-08 22:28:50.520558 | End: 2026-05-08 22:29:18.090521 | Duration: 0:00:27.569963 | Code: 0
household sessions for fp | Start: 2026-05-08 22:29:18.096740 | End: 2026-05-08 22:31:03.145539 | Duration: 0:01:45.048799 | Code: 0
member sessions for fp | Start: 2026-05-08 22:31:03.147507 | End: 2026-05-08 22:33:05.154603 | Duration: 0:02:02.007096 | Code: 0
cleaning | Start: 2026-05-08 22:33:05.158808 | End: 2026-05-08 22:33:06.815358 | Duration: 0:00:01.656550 | Code: 0
merging sessions without rejuvenation for rejuvenation history file | Start: 2026-05-08 22:33:06.821933 | End: 2026-05-08 22:33:08.106062 | Duration: 0:00:01.284129 | Code: 0
cleaning for history file | Start: 2026-05-08 22:33:08.107960 | End: 2026-05-08 22:34:18.339070 | Duration: 0:01:10.231110 | Code: 0
member rejuvenation | Start: 2026-05-08 22:34:18.342005 | End: 2026-05-08 22:35:52.452473 | Duration: 0:01:34.110468 | Code: 0
now merging the rejuvenated logo and fp files | Start: 2026-05-08 22:35:52.455150 | End: 2026-05-08 22:35:53.819701 | Duration: 0:00:01.364551 | Code: 0
cleaning for panel file | Start: 2026-05-08 22:35:53.821671 | End: 2026-05-08 22:35:55.189395 | Duration: 0:00:01.367724 | Code: 0
3 rules | Start: 2026-05-08 22:35:55.191714 | End: 2026-05-08 22:36:01.077803 | Duration: 0:00:05.886089 | Code: 0
channel clipping | Start: 2026-05-08 22:36:01.079794 | End: 2026-05-08 22:36:26.470871 | Duration: 0:00:25.391077 | Code: 0
statement file generation | Start: 2026-05-08 22:36:26.473591 | End: 2026-05-08 22:36:28.497434 | Duration: 0:00:02.023843 | Code: 0
upload outputs to S3 | Start: 2026-05-08 22:36:28.499303 | End: 2026-05-08 22:39:17.323753 | Duration: 0:02:48.824450 | Code: 0
